Station,Eastern,Northern,Elevation,U_east,U_north,U_up,r,Ur,f,Î”V
1,245739,4089483,1277,-0.081,0.006,-0.04,9520.950057636055,0.0812219182240853,-5965.857523097869,42715461.412504636
2,239679,4096034,658,-0.064,-0.115,-0.082,7063.529783330711,0.13160927019021115,-5058.977540533454,44987968.36982596
3,245575,4079738,1042,-0.032,0.033,-0.017,13787.739372355427,0.04596737973824482,-6141.084843746895,44364413.82382103
4,228788,4083178,1224,0.059,0.051,-0.037,10006.671774371336,0.07798717843338095,-5971.53495496719,44355078.103647776
5,238533,4083096,1262,-0.034,0.108,-0.076,7157.962349719367,0.11322543883774529,-6066.619387329061,42453031.68290234
6,241563,4092022,1408,-0.123,-0.048,-0.117,5753.787361382067,0.13203408650799234,-6506.631263230286,43674238.61927125
7,226577,4084570,1075,0.059,0.033,-0.029,11009.741368442767,0.06760177512462227,-5797.9898785386995,44222464.72228524
8,241071,4095543,818,-0.075,-0.092,-0.071,7458.838113272066,0.11869709347747315,-5279.587815904036,43764629.66745993
9,241153,4085143,1769,-0.077,0.073,-0.086,6829.258378477124,0.1061037228376083,-7304.302672159014,44211211.099533424
10,236240,4087027,1477,0.001,0.146,-0.264,2845.0344461886575,0.14600342461736984,-6621.325181153658,43670958.79862202
